,Volatility,Delta1,Delta2,Delta3,Current_price
0,0.08317781284024864,0.06006006006006004,-0.062441896498295756,-0.034406912804399024,61.46
1,0.07820052603272182,-0.062441896498295756,-0.034406912804399024,-0.018215550683083122,58.21
2,0.05781468611971595,-0.034406912804399024,-0.018215550683083122,0.0141302582426506,62.44
3,0.033794031773792914,-0.018215550683083122,0.0141302582426506,-0.0533439490445859,59.45
4,0.0367541731740199,0.0141302582426506,-0.0533439490445859,0.03938868756893021,65.97
5,0.08398103413502213,-0.0533439490445859,0.03938868756893021,0.13631820907455527,56.85
6,0.08646607167478772,0.03938868756893021,0.13631820907455527,0.0028333628475297272,56.63
7,0.034787560091775326,0.13631820907455527,0.0028333628475297272,-0.0026824034334763693,55.77
8,0.020938997401407176,0.0028333628475297272,-0.0026824034334763693,-0.001456929521034389,54.83
9,0.01519927596509988,-0.0026824034334763693,-0.001456929521034389,0.0007472445357743162,53.57
10,0.027471212267048222,-0.001456929521034389,0.0007472445357743162,-0.034668721109399156,50.12
11,0.0567049583837229,0.0007472445357743162,-0.034668721109399156,-0.0903377847604085,46.32
12,0.054253817253681925,-0.034668721109399156,-0.0903377847604085,-0.06871035940803383,44.05
13,0.06005043504546655,-0.0903377847604085,-0.06871035940803383,-0.04172461752433929,41.34
14,0.05129625004378582,-0.06871035940803383,-0.04172461752433929,0.12384519350811489,45.01
15,0.046206270073529475,-0.04172461752433929,0.12384519350811489,-0.09798395837849562,41.61
16,0.0633920427295411,0.12384519350811489,-0.09798395837849562,-0.04198379572796449,39.02
17,0.13479585809655312,-0.09798395837849562,-0.04198379572796449,-0.17290322580645168,32.05
18,0.10790707761739685,-0.04198379572796449,-0.17290322580645168,-0.049499116087212726,32.26
19,0.057604274084517675,-0.17290322580645168,-0.049499116087212726,-0.048955410040536336,30.5
20,0.03331228521309629,-0.049499116087212726,-0.048955410040536336,0.0406424123238282,31.75
21,0.03667935809882665,-0.048955410040536336,0.0406424123238282,0.058011049723756924,34.47
22,0.05851513466933811,0.0406424123238282,0.058011049723756924,0.07492225049476975,38.02
23,0.06485803932945196,0.058011049723756924,0.07492225049476975,0.03945291951604418,39.52
24,0.04631833181191261,0.07492225049476975,0.03945291951604418,0.06470893970893976,40.97
25,0.03527915703632009,0.03945291951604418,0.06470893970893976,-0.11034482758620692,37.41
26,0.04062817072848469,0.06470893970893976,-0.11034482758620692,-0.004729374671571196,37.88
27,0.04370966982361928,-0.11034482758620692,-0.004729374671571196,0.005877638258081722,37.65
28,0.0130917235013576,-0.004729374671571196,0.005877638258081722,0.022251655629139163,38.59
29,0.0817849433955857,0.005877638258081722,0.022251655629139163,-0.05334773218142547,43.83
30,0.06720947484735865,0.022251655629139163,-0.05334773218142547,0.008053382420616692,43.81
31,0.021329322891537657,-0.05334773218142547,0.008053382420616692,0.02129105322763318,45.09
32,0.0297595141777482,0.008053382420616692,0.02129105322763318,0.06901908566355969,48.17
33,0.045936297865412416,0.02129105322763318,0.06901908566355969,0.0264253017062005,49.33
34,0.04889690079385009,0.06901908566355969,0.0264253017062005,0.05314490445859862,52.91
35,0.025858094821165915,0.0264253017062005,0.05314490445859862,-0.036854103343465,50.7
36,0.021195758252463632,0.05314490445859862,-0.036854103343465,0.04088050314465405,52.96
